id,Names,Surnames,Age,Email,Worktimes,Schedules,Studies level,Pets,Cooking,Sport,Smoking,Organized
32,LouisaLoren,Smith,18,LouisaLorenSmith@gmail.com,night,night,university,No,Yes,Yes,Yes,Yes
33,Anthony,Hughes ,18,AnthonyHughes @gmail.com,both of them,morning,secondary,No,No,Yes,No,Yes
34,Michael,Jones,20,MichaelJones@gmail.com,night,night,secondary,Yes,No,No,Yes,No
35,Anthony,Roberts ,18,AnthonyRoberts @gmail.com,night,night,university,Yes,No,No,Yes,No
36,Mario,Lee ,25,MarioLee @gmail.com,both of them,morning,university,No,Yes,Yes,No,No
37,Antonio,Walker ,21,AntonioWalker @gmail.com,morning,morning,secondary,Yes,Yes,No,No,Yes
38,Jorge,Lee ,31,JorgeLee @gmail.com,morning,morning,university,Yes,Yes,Yes,No,No
39,Derek,Walker ,24,DerekWalker @gmail.com,morning,morning,secondary,No,No,Yes,No,Yes
40,Nick,Edwards ,26,NickEdwards @gmail.com,morning,morning,university,Yes,Yes,Yes,No,Yes
41,Josephine,Thomas ,29,JosephineThomas @gmail.com,both of them,night,secondary,Yes,Yes,No,Yes,No
42,Nick,Lee ,19,NickLee @gmail.com,night,morning,secondary,No,Yes,Yes,Yes,No
43,Antonio,Edwards ,32,AntonioEdwards @gmail.com,night,morning,university,Yes,No,No,Yes,Yes
44,Maria,Lee ,21,MariaLee @gmail.com,both of them,night,secondary,No,No,Yes,Yes,No
45,Mario,Taylor,34,MarioTaylor@gmail.com,morning,morning,secondary,No,No,Yes,Yes,No
46,Nick,Davies ,21,NickDavies @gmail.com,both of them,night,secondary,Yes,Yes,No,No,Yes
47,Mario,Thompson ,32,MarioThompson @gmail.com,both of them,night,university,Yes,No,No,No,Yes
48,Josephine,Walker ,20,JosephineWalker @gmail.com,both of them,morning,university,No,Yes,No,Yes,No
49,Marie,Roberts ,19,MarieRoberts @gmail.com,night,morning,secondary,No,No,No,No,No
50,Nick,Roberts ,19,NickRoberts @gmail.com,night,morning,university,Yes,No,Yes,No,No
51,Anthony,Johnson,31,AnthonyJohnson@gmail.com,morning,night,secondary,Yes,No,No,No,No
52,George,Williams,29,GeorgeWilliams@gmail.com,morning,night,secondary,No,No,No,Yes,No
53,Jorge,Williams,26,JorgeWilliams@gmail.com,both of them,morning,university,Yes,No,No,Yes,No
54,Nick,Davies ,32,NickDavies @gmail.com,morning,night,secondary,Yes,Yes,Yes,No,No
55,Mario,Robinson ,31,MarioRobinson @gmail.com,both of them,night,university,No,No,Yes,Yes,No
56,Miguel,Williams,29,MiguelWilliams@gmail.com,both of them,morning,university,No,No,No,Yes,Yes
57,Mario,Roberts ,18,MarioRoberts @gmail.com,morning,morning,university,Yes,Yes,Yes,Yes,No
58,Miguel,Davies ,31,MiguelDavies @gmail.com,morning,morning,university,No,No,Yes,Yes,No
59,Marie,Williams,24,MarieWilliams@gmail.com,night,night,university,Yes,Yes,No,No,Yes
60,Albert,Thomas ,31,AlbertThomas @gmail.com,both of them,night,university,Yes,Yes,Yes,Yes,Yes
61,Josephine,Evans ,25,JosephineEvans @gmail.com,both of them,night,university,No,Yes,Yes,No,Yes
62,Derek,Roberts ,28,DerekRoberts @gmail.com,morning,night,secondary,Yes,No,Yes,Yes,Yes
63,John,Wright,28,JohnWright@gmail.com,both of them,night,university,No,No,No,Yes,Yes
64,Josephine,Walker ,19,JosephineWalker @gmail.com,night,night,secondary,Yes,Yes,No,Yes,Yes
65,Nick,Smith,21,NickSmith@gmail.com,morning,morning,secondary,Yes,Yes,Yes,No,Yes
66,John,Davies ,30,JohnDavies @gmail.com,morning,night,secondary,No,Yes,Yes,No,No
67,Josephine,Taylor,22,JosephineTaylor@gmail.com,both of them,night,university,Yes,Yes,No,Yes,No
68,Nick,Brown,21,NickBrown@gmail.com,morning,morning,secondary,Yes,Yes,No,No,No
69,Derek,Walker ,23,DerekWalker @gmail.com,both of them,morning,university,Yes,Yes,No,No,No
70,Miguel,Lee ,27,MiguelLee @gmail.com,both of them,morning,secondary,Yes,Yes,Yes,Yes,Yes
71,Anthony,Smith,18,AnthonySmith@gmail.com,morning,night,secondary,No,No,No,No,Yes
72,Lucas,Thomas ,28,LucasThomas @gmail.com,night,morning,secondary,No,No,Yes,Yes,No
73,Mario,Wright,30,MarioWright@gmail.com,both of them,morning,secondary,Yes,No,Yes,Yes,No
74,Michael,Davies ,18,MichaelDavies @gmail.com,night,morning,secondary,Yes,Yes,No,No,No
75,Albert,Lee ,26,AlbertLee @gmail.com,both of them,night,university,Yes,No,No,No,Yes
76,Albert,Bush,24,AlbertBush@gmail.com,morning,morning,secondary,Yes,No,No,No,No
77,George,Roberts ,26,GeorgeRoberts @gmail.com,both of them,night,university,No,No,No,Yes,Yes
78,Luna,Walker ,32,LunaWalker @gmail.com,morning,night,secondary,No,No,Yes,Yes,Yes
79,LouisaLoren,Lee ,33,LouisaLorenLee @gmail.com,both of them,night,secondary,Yes,No,Yes,No,Yes
80,Maria,Lee ,23,MariaLee @gmail.com,night,night,university,No,Yes,No,Yes,Yes
81,Jorge,Jones,34,JorgeJones@gmail.com,both of them,morning,university,Yes,Yes,No,Yes,No
82,Marie,Roberts ,29,MarieRoberts @gmail.com,both of them,morning,secondary,Yes,Yes,No,Yes,No
83,Albert,Evans ,27,AlbertEvans @gmail.com,both of them,night,secondary,Yes,Yes,No,No,Yes
84,Maria,Hughes ,23,MariaHughes @gmail.com,night,night,university,No,Yes,Yes,No,No
85,LouisaLoren,Thomas ,20,LouisaLorenThomas @gmail.com,morning,night,university,No,Yes,No,Yes,Yes
86,Derek,Johnson,19,DerekJohnson@gmail.com,night,morning,secondary,Yes,No,No,Yes,Yes
87,Jorge,Hughes ,23,JorgeHughes @gmail.com,both of them,morning,secondary,No,Yes,Yes,Yes,Yes
88,Antonio,Evans ,20,AntonioEvans @gmail.com,both of them,night,secondary,No,Yes,No,No,Yes
89,John,Walker ,22,JohnWalker @gmail.com,both of them,morning,university,No,No,Yes,Yes,Yes
90,Jorge,Edwards ,34,JorgeEdwards @gmail.com,night,morning,university,Yes,No,Yes,Yes,Yes
91,Antonio,Roberts ,25,AntonioRoberts @gmail.com,morning,night,secondary,Yes,Yes,No,Yes,No
92,George,Wright,34,GeorgeWright@gmail.com,both of them,night,secondary,No,No,Yes,Yes,No
93,John,Wright,24,JohnWright@gmail.com,both of them,night,university,No,No,No,Yes,Yes
94,Anthony,White,34,AnthonyWhite@gmail.com,morning,night,secondary,No,Yes,No,Yes,Yes
95,Nick,Bush,29,NickBush@gmail.com,morning,night,secondary,Yes,No,Yes,Yes,Yes
96,Anthony,Wright,34,AnthonyWright@gmail.com,both of them,night,secondary,Yes,Yes,Yes,No,Yes
97,Josephine,Evans ,18,JosephineEvans @gmail.com,both of them,night,secondary,Yes,Yes,No,No,No
98,Antonio,Wright,34,AntonioWright@gmail.com,morning,morning,secondary,No,Yes,No,No,Yes
99,Albert,Evans ,29,AlbertEvans @gmail.com,both of them,morning,secondary,No,Yes,Yes,Yes,No
100,Lucas,Evans ,25,LucasEvans @gmail.com,morning,night,university,No,Yes,Yes,No,No
101,George,Roberts ,26,GeorgeRoberts @gmail.com,morning,night,secondary,Yes,Yes,No,Yes,Yes
102,Michael,Davies ,26,MichaelDavies @gmail.com,night,night,university,No,Yes,No,Yes,Yes
103,George,Taylor,20,GeorgeTaylor@gmail.com,both of them,morning,university,No,Yes,Yes,No,No
104,Josephine,Bush,20,JosephineBush@gmail.com,night,morning,university,Yes,Yes,No,Yes,No
105,Mario,Walker ,32,MarioWalker @gmail.com,both of them,night,secondary,Yes,Yes,Yes,No,No
106,Albert,Thompson ,31,AlbertThompson @gmail.com,night,morning,university,No,No,No,No,No
107,Josephine,Lee ,29,JosephineLee @gmail.com,morning,night,university,No,Yes,No,No,No
108,Mario,Evans ,31,MarioEvans @gmail.com,morning,night,secondary,Yes,No,Yes,No,No
109,Marie,Wright,26,MarieWright@gmail.com,morning,night,secondary,No,Yes,No,Yes,Yes
110,Derek,Davies ,26,DerekDavies @gmail.com,both of them,morning,university,Yes,No,No,No,No
111,Antonio,Edwards ,21,AntonioEdwards @gmail.com,both of them,morning,secondary,Yes,Yes,Yes,Yes,Yes
112,Mario,Johnson,24,MarioJohnson@gmail.com,night,night,secondary,No,No,No,No,No
113,Michael,White,23,MichaelWhite@gmail.com,both of them,morning,university,No,Yes,No,No,Yes
114,Albert,Bush,31,AlbertBush@gmail.com,both of them,morning,university,Yes,No,Yes,Yes,No
115,Nick,Taylor,24,NickTaylor@gmail.com,night,morning,university,No,Yes,Yes,No,No
116,Albert,White,29,AlbertWhite@gmail.com,both of them,morning,secondary,Yes,No,No,No,Yes
117,John,Wright,22,JohnWright@gmail.com,morning,morning,university,No,No,Yes,Yes,Yes
118,Anthony,Jones,20,AnthonyJones@gmail.com,both of them,night,secondary,No,No,Yes,No,No
119,Michael,Johnson,33,MichaelJohnson@gmail.com,morning,night,secondary,Yes,Yes,Yes,No,Yes
120,Lucas,Bush,18,LucasBush@gmail.com,night,morning,university,Yes,Yes,Yes,Yes,No
121,Nick,Lee ,30,NickLee @gmail.com,morning,morning,secondary,No,Yes,Yes,No,No
122,Marie,Taylor,29,MarieTaylor@gmail.com,both of them,morning,secondary,No,No,No,No,No
123,Jorge,Wright,30,JorgeWright@gmail.com,morning,night,secondary,Yes,Yes,No,No,Yes
124,Mario,Brown,18,MarioBrown@gmail.com,night,night,secondary,Yes,Yes,No,Yes,Yes
125,Maria,Walker ,27,MariaWalker @gmail.com,morning,morning,secondary,No,No,Yes,Yes,No
126,Marie,Davies ,32,MarieDavies @gmail.com,morning,night,university,No,No,No,Yes,No
127,Lucas,Brown,18,LucasBrown@gmail.com,both of them,morning,secondary,Yes,No,No,No,Yes
128,Albert,Williams,19,AlbertWilliams@gmail.com,morning,morning,secondary,Yes,No,Yes,Yes,Yes
129,Josephine,Robinson ,27,JosephineRobinson @gmail.com,morning,morning,secondary,No,No,Yes,Yes,No
130,Derek,Thompson ,30,DerekThompson @gmail.com,night,night,university,Yes,No,Yes,No,Yes
131,Marie,Thomas ,31,MarieThomas @gmail.com,both of them,morning,secondary,Yes,No,Yes,No,Yes
132,Maria,Wright,34,MariaWright@gmail.com,morning,night,university,No,No,No,No,No
133,John,Thompson ,27,JohnThompson @gmail.com,both of them,night,secondary,Yes,Yes,No,Yes,Yes
134,Nick,Hughes ,30,NickHughes @gmail.com,night,night,secondary,Yes,No,No,Yes,Yes
135,Michael,White,22,MichaelWhite@gmail.com,both of them,morning,university,Yes,No,No,Yes,No
136,Mario,Johnson,18,MarioJohnson@gmail.com,morning,night,university,No,Yes,Yes,Yes,No
137,Luna,Hughes ,20,LunaHughes @gmail.com,night,night,university,Yes,Yes,No,Yes,No
138,Jorge,White,34,JorgeWhite@gmail.com,night,morning,university,Yes,Yes,Yes,No,Yes
139,Albert,Wright,34,AlbertWright@gmail.com,night,night,secondary,Yes,No,Yes,No,No
140,Luna,Walker ,20,LunaWalker @gmail.com,morning,morning,university,No,No,Yes,Yes,Yes
141,Antonio,Roberts ,18,AntonioRoberts @gmail.com,both of them,night,university,Yes,Yes,No,Yes,No
142,Josephine,Lee ,21,JosephineLee @gmail.com,both of them,night,secondary,Yes,No,Yes,No,Yes
143,Jorge,Johnson,24,JorgeJohnson@gmail.com,morning,morning,university,Yes,No,No,Yes,No
144,Lucas,Robinson ,25,LucasRobinson @gmail.com,morning,morning,university,No,No,Yes,Yes,No
145,Nick,Evans ,32,NickEvans @gmail.com,morning,night,university,Yes,No,No,No,Yes
146,George,Davies ,30,GeorgeDavies @gmail.com,night,night,secondary,Yes,Yes,No,No,No
147,Anthony,White,18,AnthonyWhite@gmail.com,morning,night,university,Yes,Yes,Yes,No,Yes
148,LouisaLoren,Williams,26,LouisaLorenWilliams@gmail.com,night,morning,secondary,Yes,Yes,Yes,No,No
149,LouisaLoren,Lee ,26,LouisaLorenLee @gmail.com,both of them,morning,secondary,No,No,No,Yes,Yes
150,Miguel,Lee ,24,MiguelLee @gmail.com,morning,morning,university,No,Yes,No,No,No
151,Nick,Edwards ,24,NickEdwards @gmail.com,both of them,morning,university,Yes,No,Yes,No,Yes
152,Maria,Lee ,19,MariaLee @gmail.com,morning,morning,secondary,Yes,No,No,No,No
153,Anthony,Wright,28,AnthonyWright@gmail.com,both of them,night,secondary,Yes,Yes,No,No,No
154,Maria,Lee ,30,MariaLee @gmail.com,morning,night,secondary,No,No,Yes,No,No
155,Miguel,Walker ,21,MiguelWalker @gmail.com,morning,morning,university,Yes,No,Yes,Yes,No
156,Miguel,Jones,30,MiguelJones@gmail.com,both of them,night,university,Yes,No,No,No,No
157,Michael,Davies ,26,MichaelDavies @gmail.com,night,morning,university,No,Yes,No,Yes,No
158,Luna,Brown,22,LunaBrown@gmail.com,both of them,morning,university,No,Yes,No,No,Yes
159,Marie,Wright,21,MarieWright@gmail.com,both of them,night,secondary,Yes,No,Yes,No,Yes
160,George,Thompson ,26,GeorgeThompson @gmail.com,morning,night,university,Yes,Yes,No,Yes,No
161,Marie,Smith,21,MarieSmith@gmail.com,night,night,secondary,No,Yes,Yes,Yes,Yes
162,Marie,White,24,MarieWhite@gmail.com,morning,morning,university,No,Yes,No,No,No
163,Michael,Williams,23,MichaelWilliams@gmail.com,night,night,university,No,Yes,No,Yes,Yes
164,George,Edwards ,29,GeorgeEdwards @gmail.com,morning,night,university,Yes,Yes,No,No,Yes
165,George,Bush,27,GeorgeBush@gmail.com,night,night,secondary,No,No,Yes,No,No
166,Albert,Brown,19,AlbertBrown@gmail.com,morning,night,university,No,Yes,Yes,No,Yes
167,Anthony,Johnson,23,AnthonyJohnson@gmail.com,night,morning,secondary,No,No,No,Yes,No
168,Michael,Roberts ,22,MichaelRoberts @gmail.com,morning,night,university,No,No,No,Yes,No
169,Miguel,Brown,34,MiguelBrown@gmail.com,morning,morning,secondary,No,No,No,Yes,Yes
170,Mario,Williams,32,MarioWilliams@gmail.com,morning,night,secondary,Yes,Yes,Yes,Yes,No
171,Derek,Roberts ,25,DerekRoberts @gmail.com,both of them,night,university,Yes,No,Yes,Yes,No
172,Derek,Williams,26,DerekWilliams@gmail.com,morning,morning,university,Yes,No,No,Yes,No
173,Anthony,Johnson,24,AnthonyJohnson@gmail.com,morning,night,secondary,No,Yes,No,Yes,Yes
174,Albert,Walker ,23,AlbertWalker @gmail.com,both of them,night,university,No,No,No,No,No
175,John,Evans ,25,JohnEvans @gmail.com,morning,morning,secondary,No,No,Yes,No,No
176,Mario,Williams,22,MarioWilliams@gmail.com,both of them,morning,university,Yes,No,No,Yes,No
177,Marie,Thompson ,24,MarieThompson @gmail.com,night,morning,secondary,Yes,No,Yes,Yes,No
178,Maria,Taylor,19,MariaTaylor@gmail.com,morning,morning,university,Yes,No,Yes,No,Yes
179,Luna,Walker ,27,LunaWalker @gmail.com,both of them,night,secondary,Yes,No,Yes,Yes,No
180,Mario,Smith,24,MarioSmith@gmail.com,night,night,university,Yes,Yes,No,No,No
181,Albert,Hughes ,30,AlbertHughes @gmail.com,both of them,morning,university,No,No,Yes,Yes,No
182,Anthony,Williams,31,AnthonyWilliams@gmail.com,night,morning,university,No,Yes,Yes,Yes,No
183,Nick,Jones,28,NickJones@gmail.com,night,night,university,Yes,No,Yes,No,Yes
184,Mario,Williams,34,MarioWilliams@gmail.com,morning,night,university,No,Yes,Yes,Yes,No
185,George,Lee ,21,GeorgeLee @gmail.com,morning,night,university,No,Yes,No,Yes,Yes
186,Marie,Davies ,25,MarieDavies @gmail.com,both of them,night,secondary,No,Yes,Yes,Yes,Yes
187,Marie,Jones,20,MarieJones@gmail.com,both of them,night,university,No,Yes,Yes,No,Yes
188,Luna,Johnson,29,LunaJohnson@gmail.com,night,night,university,No,No,Yes,Yes,Yes
189,Michael,Bush,32,MichaelBush@gmail.com,night,night,secondary,Yes,Yes,Yes,Yes,Yes
190,Anthony,Lee ,21,AnthonyLee @gmail.com,night,night,secondary,Yes,No,No,No,No
191,Marie,Edwards ,24,MarieEdwards @gmail.com,night,night,university,Yes,Yes,Yes,No,No
192,Miguel,Evans ,20,MiguelEvans @gmail.com,both of them,night,university,No,Yes,No,Yes,Yes
193,Maria,Roberts ,28,MariaRoberts @gmail.com,both of them,morning,secondary,No,Yes,No,No,Yes
194,Antonio,Davies ,25,AntonioDavies @gmail.com,morning,night,secondary,No,No,No,No,No
195,Lucas,Thomas ,20,LucasThomas @gmail.com,both of them,morning,secondary,Yes,No,No,Yes,Yes
196,Antonio,Williams,31,AntonioWilliams@gmail.com,both of them,night,secondary,No,Yes,No,No,Yes
197,Derek,Robinson ,27,DerekRobinson @gmail.com,morning,night,secondary,No,No,No,No,Yes
198,Jorge,Jones,28,JorgeJones@gmail.com,night,morning,university,Yes,No,No,No,No
199,Josephine,Wright,34,JosephineWright@gmail.com,morning,night,secondary,No,Yes,No,No,No
200,Nick,Jones,27,NickJones@gmail.com,both of them,night,secondary,No,Yes,Yes,Yes,No
201,Luna,Walker ,18,LunaWalker @gmail.com,morning,morning,university,No,Yes,No,No,Yes
202,Jorge,Lee ,18,JorgeLee @gmail.com,both of them,night,university,Yes,Yes,Yes,Yes,No
203,Albert,Johnson,25,AlbertJohnson@gmail.com,morning,night,university,Yes,No,No,Yes,Yes
204,Miguel,Williams,34,MiguelWilliams@gmail.com,both of them,morning,secondary,Yes,Yes,No,Yes,Yes
205,Michael,Smith,19,MichaelSmith@gmail.com,morning,morning,secondary,Yes,No,No,No,No
206,John,Walker ,34,JohnWalker @gmail.com,night,night,university,No,No,Yes,Yes,No
207,Mario,Williams,19,MarioWilliams@gmail.com,morning,morning,secondary,No,Yes,Yes,No,Yes
208,Josephine,Taylor,21,JosephineTaylor@gmail.com,morning,morning,university,No,Yes,Yes,No,Yes
209,Miguel,Lee ,25,MiguelLee @gmail.com,night,night,secondary,No,No,No,Yes,No
210,Nick,Johnson,18,NickJohnson@gmail.com,night,morning,secondary,Yes,Yes,No,Yes,Yes
211,Michael,Thompson ,28,MichaelThompson @gmail.com,night,night,secondary,No,Yes,No,Yes,Yes
212,Anthony,Jones,23,AnthonyJones@gmail.com,morning,morning,secondary,No,No,No,No,Yes
213,Derek,Thompson ,25,DerekThompson @gmail.com,morning,night,secondary,Yes,Yes,Yes,Yes,No
214,Maria,Jones,30,MariaJones@gmail.com,morning,night,secondary,No,Yes,No,No,No
215,Jorge,Williams,20,JorgeWilliams@gmail.com,night,morning,secondary,Yes,No,Yes,No,Yes
216,Luna,Walker ,30,LunaWalker @gmail.com,both of them,morning,university,Yes,Yes,Yes,No,No
217,Josephine,Wright,34,JosephineWright@gmail.com,both of them,morning,secondary,Yes,Yes,Yes,Yes,No
218,Miguel,Jones,28,MiguelJones@gmail.com,morning,night,secondary,Yes,No,No,Yes,Yes
219,Michael,Roberts ,34,MichaelRoberts @gmail.com,both of them,morning,university,Yes,No,No,Yes,No
220,George,Brown,29,GeorgeBrown@gmail.com,night,morning,university,Yes,No,No,Yes,No
221,Michael,Edwards ,18,MichaelEdwards @gmail.com,morning,night,university,No,No,Yes,No,Yes
222,Michael,Brown,26,MichaelBrown@gmail.com,both of them,morning,secondary,No,No,Yes,Yes,Yes
223,Albert,Hughes ,20,AlbertHughes @gmail.com,morning,night,university,No,Yes,Yes,Yes,No
224,Josephine,Taylor,23,JosephineTaylor@gmail.com,both of them,night,university,No,No,Yes,No,No
225,Miguel,Williams,32,MiguelWilliams@gmail.com,night,night,university,Yes,No,Yes,Yes,Yes
226,George,Hughes ,25,GeorgeHughes @gmail.com,both of them,morning,secondary,Yes,Yes,No,No,No
227,Miguel,Williams,33,MiguelWilliams@gmail.com,morning,morning,secondary,No,No,No,No,No
228,Albert,Williams,24,AlbertWilliams@gmail.com,night,morning,university,Yes,Yes,No,Yes,No
229,Marie,Hughes ,27,MarieHughes @gmail.com,night,night,university,No,No,Yes,No,Yes
230,Mario,Williams,22,MarioWilliams@gmail.com,both of them,night,secondary,No,No,Yes,No,No
231,Josephine,Lee ,18,JosephineLee @gmail.com,night,morning,secondary,No,No,No,Yes,No
232,John,Johnson,21,JohnJohnson@gmail.com,morning,morning,secondary,Yes,Yes,No,Yes,No
233,Derek,Johnson,28,DerekJohnson@gmail.com,night,morning,secondary,Yes,Yes,Yes,No,Yes
234,Maria,Wright,26,MariaWright@gmail.com,both of them,morning,secondary,Yes,No,No,Yes,No
235,Josephine,Jones,27,JosephineJones@gmail.com,both of them,night,secondary,No,Yes,No,No,Yes
236,Anthony,Jones,20,AnthonyJones@gmail.com,morning,morning,secondary,No,Yes,Yes,Yes,Yes
237,Michael,Smith,23,MichaelSmith@gmail.com,morning,morning,university,Yes,Yes,Yes,Yes,Yes
238,Marie,Thompson ,24,MarieThompson @gmail.com,both of them,morning,secondary,Yes,No,No,No,Yes
239,Michael,Thompson ,22,MichaelThompson @gmail.com,night,morning,university,No,No,Yes,No,Yes
240,LouisaLoren,Williams,27,LouisaLorenWilliams@gmail.com,night,night,university,No,No,No,No,No
241,John,White,32,JohnWhite@gmail.com,night,morning,university,No,No,Yes,No,Yes
242,Michael,Thompson ,24,MichaelThompson @gmail.com,both of them,night,secondary,No,Yes,Yes,No,No
243,Mario,Edwards ,30,MarioEdwards @gmail.com,night,morning,secondary,Yes,Yes,Yes,No,Yes
244,Nick,Walker ,24,NickWalker @gmail.com,morning,night,university,No,No,No,No,Yes
245,Maria,Edwards ,26,MariaEdwards @gmail.com,morning,night,secondary,No,No,Yes,Yes,Yes
246,Jorge,Lee ,25,JorgeLee @gmail.com,both of them,morning,university,Yes,Yes,No,No,No
247,Albert,Smith,32,AlbertSmith@gmail.com,morning,night,secondary,Yes,No,No,Yes,No
248,Nick,Williams,25,NickWilliams@gmail.com,both of them,night,secondary,No,Yes,No,No,No
249,Michael,Evans ,20,MichaelEvans @gmail.com,morning,morning,secondary,No,No,Yes,No,Yes
250,Josephine,Williams,32,JosephineWilliams@gmail.com,both of them,night,university,No,Yes,Yes,No,No
251,Mario,Edwards ,31,MarioEdwards @gmail.com,night,night,university,Yes,Yes,No,Yes,Yes
252,Michael,Davies ,25,MichaelDavies @gmail.com,morning,morning,secondary,No,Yes,Yes,Yes,Yes
253,Marie,Davies ,25,MarieDavies @gmail.com,both of them,morning,secondary,No,Yes,Yes,No,Yes
254,John,Edwards ,18,JohnEdwards @gmail.com,night,morning,secondary,No,Yes,Yes,No,No
255,Derek,Thomas ,25,DerekThomas @gmail.com,night,morning,university,Yes,No,No,Yes,Yes
256,Anthony,Smith,18,AnthonySmith@gmail.com,night,night,secondary,No,Yes,Yes,No,No
257,Albert,Williams,23,AlbertWilliams@gmail.com,morning,night,secondary,Yes,Yes,Yes,Yes,No
258,Antonio,White,18,AntonioWhite@gmail.com,morning,morning,university,No,Yes,No,Yes,Yes
259,Anthony,Brown,32,AnthonyBrown@gmail.com,morning,night,university,No,No,No,Yes,No
260,Jorge,White,25,JorgeWhite@gmail.com,morning,night,university,Yes,No,Yes,No,Yes
261,Nick,Evans ,24,NickEvans @gmail.com,morning,night,secondary,No,No,No,No,Yes
262,John,Davies ,25,JohnDavies @gmail.com,both of them,morning,secondary,Yes,Yes,Yes,No,No
263,George,Thompson ,25,GeorgeThompson @gmail.com,morning,morning,secondary,Yes,Yes,Yes,Yes,No
264,Antonio,Lee ,32,AntonioLee @gmail.com,night,night,university,Yes,No,Yes,Yes,No
265,LouisaLoren,Wright,30,LouisaLorenWright@gmail.com,both of them,night,secondary,Yes,Yes,Yes,Yes,Yes
266,Nick,Taylor,18,NickTaylor@gmail.com,morning,night,secondary,No,No,No,No,Yes
267,Michael,Bush,22,MichaelBush@gmail.com,morning,morning,university,No,No,Yes,No,No
268,Mario,Robinson ,27,MarioRobinson @gmail.com,both of them,morning,university,Yes,No,No,Yes,No
269,Maria,Smith,20,MariaSmith@gmail.com,morning,morning,secondary,Yes,Yes,No,Yes,No
270,Marie,Brown,28,MarieBrown@gmail.com,both of them,night,university,Yes,Yes,No,Yes,No
271,Anthony,Brown,32,AnthonyBrown@gmail.com,both of them,night,university,Yes,No,Yes,No,Yes
272,Miguel,Wright,32,MiguelWright@gmail.com,morning,night,secondary,Yes,No,Yes,Yes,Yes
273,Lucas,Bush,32,LucasBush@gmail.com,both of them,night,secondary,Yes,No,No,No,No
274,Anthony,Davies ,23,AnthonyDavies @gmail.com,morning,night,secondary,No,No,No,No,Yes
275,Derek,Thompson ,34,DerekThompson @gmail.com,night,night,university,Yes,No,No,No,Yes
